name,website,description,products_services,country,healthcare_type,status,status_code,source,extraction_method,raw_title,validated_date,state,city,location_summary,location_method,products
Dpv-analytics,https://www.dpv-analytics.com,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:02,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis,DPV Analytics
Emmora,https://www.emmora.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:05,,,Germany,url_analysis,"und App, Wir set, des Portal"
Empident,https://www.empident.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:07,,,Germany,url_analysis,"Digitale Zahnarztpraxis - ENG - EMPIDENT, Your Practice: Digitally Connected, Just 4 Easy Steps, Be part of the future from the start!, Our Partners"
Fitwhit,https://www.fitwhit.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:09,,,Germany,url_analysis,Home
Floy,https://www.floy.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:10,,Munich,"Munich, Germany",combined_analysis,Floy
Gesund,https://www.gesund.de/app,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:12,,,Germany,url_analysis,"Die gesund.de App - Deine smarte Gesundheitsapp, Bitte aktiviere Javascript in Deinem Browser., Das sagen Trusted Shop Nutzerinnen und Nutzer, Schnell, lokal, unkompliziert, Medikamente online bestellen"
Glaice,https://www.glaice.de,No description available,AI/Healthcare analytics,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:14,,,Germany,url_analysis,"GLAICE Health, Creating a future where Diabetes does not define You., Empowering people with diabetes, Developed with leading researchers and diabetologists, Take control of your diabetes"
Guide,https://www.guidecare.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:15,,,Germany,url_analysis,Kostenlose Beratung zur Verhinderungspflege in Ihrer Nähe
Healthmeapp,https://www.healthmeapp.de/de,No description available,Healthcare solutions,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:17,,,Germany,url_analysis,HealthMe die Digitale Ernährungsnavigator App für gesundes Essen
Help-app,https://www.help-app.de,No description available,Digital health platform,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:19,,,Germany,url_analysis,HELP Mee Schmerztherapie GmbH
Heynanny,https://www.heynanny.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:20,,Essen,"Essen, Germany",combined_analysis,HeyNanny
