name,website,description,location,category,founded_year,employees,source
Heraeus Medical GmbH,https://www.heraeusmedical.de,"Heraeus Medical GmbH is a medical technology company that develops and manufactures medical devices, diagnostic equipment, and healthcare solutions for hospitals and healthcare providers.","Hanau, Germany",Medical Technology,,,Curated German Healthcare Database
Schering AG,https://www.schering.de,Schering AG provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Roche Diagnostics Deutschland GmbH,https://www.rochediagnosticsdeutschland.de,"Roche Diagnostics Deutschland GmbH is a pharmaceutical company specializing in the development, manufacturing, and distribution of prescription medications and healthcare products in Germany and internationally.",Germany,Pharmaceuticals,,,Curated German Healthcare Database
Roche Deutschland GmbH,https://www.rochedeutschland.de,"Roche Deutschland GmbH is a pharmaceutical company specializing in the development, manufacturing, and distribution of prescription medications and healthcare products in Germany and internationally.",Germany,Pharmaceuticals,,,Curated German Healthcare Database
AbbVie Deutschland GmbH,https://www.abbviedeutschland.de,AbbVie Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Nikkiso Deutschland GmbH,https://www.nikkisodeutschland.de,Nikkiso Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Ortho Clinical Diagnostics Deutschland GmbH,https://www.orthoclinicaldiagnosticsdeutschland.de,"Ortho Clinical Diagnostics Deutschland GmbH is a medical technology company that develops and manufactures medical devices, diagnostic equipment, and healthcare solutions for hospitals and healthcare providers.",Germany,Medical Technology,,,Curated German Healthcare Database
Grünenthal GmbH,https://www.grnenthal.de,Grünenthal GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Abbott Deutschland GmbH,https://www.abbottdeutschland.de,Abbott Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Philips Deutschland GmbH,https://www.philipsdeutschland.de,Philips Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Fresenius Kabi Deutschland GmbH,https://www.freseniuskabideutschland.de,"Fresenius Kabi Deutschland GmbH provides dialysis services and renal care solutions for patients with kidney diseases, operating dialysis centers and manufacturing related medical equipment.","Bad Homburg, Germany",Dialysis & Renal Care,,,Curated German Healthcare Database
Zimmer Biomet Deutschland GmbH,https://www.zimmerbiometdeutschland.de,Zimmer Biomet Deutschland GmbH is a biotechnology company focused on developing innovative therapeutic solutions through advanced biotechnology platforms and research capabilities.,Germany,Biotechnology,,,Curated German Healthcare Database
Drägerwerk AG,https://www.drgerwerk.de,Drägerwerk AG provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
PHV Dialysezentren,https://www.phvdialysezentren.de,"PHV Dialysezentren provides dialysis services and renal care solutions for patients with kidney diseases, operating dialysis centers and manufacturing related medical equipment.",Germany,Dialysis & Renal Care,,,Curated German Healthcare Database
Grifols Deutschland GmbH,https://www.grifolsdeutschland.de,Grifols Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Lohmann & Rauscher GmbH,https://www.lohmann.de,Lohmann & Rauscher GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Nova Biomedical Deutschland GmbH,https://www.novabiomedicaldeutschland.de,"Nova Biomedical Deutschland GmbH is a medical technology company that develops and manufactures medical devices, diagnostic equipment, and healthcare solutions for hospitals and healthcare providers.",Germany,Medical Technology,,,Curated German Healthcare Database
Merck KGaA,https://www.merck.de,"Merck KGaA is a pharmaceutical company specializing in the development, manufacturing, and distribution of prescription medications and healthcare products in Germany and internationally.","Darmstadt, Germany",Pharmaceuticals,,,Curated German Healthcare Database
Werfen Deutschland GmbH,https://www.werfendeutschland.de,Werfen Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
CSL Behring Deutschland GmbH,https://www.cslbehringdeutschland.de,CSL Behring Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Qiagen N.V.,https://www.qiagennv.de,Qiagen N.V. is a biotechnology company focused on developing innovative therapeutic solutions through advanced biotechnology platforms and research capabilities.,"Hilden, Germany",Biotechnology,,,Curated German Healthcare Database
Genzyme Deutschland GmbH,https://www.genzymedeutschland.de,Genzyme Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Kedrion Deutschland GmbH,https://www.kedriondeutschland.de,Kedrion Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
DiaSorin Deutschland GmbH,https://www.diasorindeutschland.de,DiaSorin Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Bio-Rad Laboratories Deutschland GmbH,https://www.bioradlaboratoriesdeutschland.de,Bio-Rad Laboratories Deutschland GmbH is a biotechnology company focused on developing innovative therapeutic solutions through advanced biotechnology platforms and research capabilities.,Germany,Biotechnology,,,Curated German Healthcare Database
Baxter Deutschland GmbH,https://www.baxterdeutschland.de,Baxter Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Integra LifeSciences Deutschland GmbH,https://www.integralifesciencesdeutschland.de,Integra LifeSciences Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Quidel Deutschland GmbH,https://www.quideldeutschland.de,Quidel Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Urgo Deutschland GmbH,https://www.urgodeutschland.de,Urgo Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
EKF Diagnostics Deutschland GmbH,https://www.ekfdiagnosticsdeutschland.de,"EKF Diagnostics Deutschland GmbH is a medical technology company that develops and manufactures medical devices, diagnostic equipment, and healthcare solutions for hospitals and healthcare providers.",Germany,Medical Technology,,,Curated German Healthcare Database
LIFSE,https://www.lifse.de,LIFSE provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Covidien Deutschland GmbH,https://www.covidiendeutschland.de,Covidien Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Biolife Deutschland GmbH,https://www.biolifedeutschland.de,Biolife Deutschland GmbH is a biotechnology company focused on developing innovative therapeutic solutions through advanced biotechnology platforms and research capabilities.,Germany,Biotechnology,,,Curated German Healthcare Database
B. Braun Melsungen AG,https://www.bbraunmelsungen.de,"B. Braun Melsungen AG manufactures and distributes medical devices, surgical instruments, and healthcare products for medical professionals and healthcare institutions.","Melsungen, Germany",Medical Devices,,,Curated German Healthcare Database
DaVita Deutschland GmbH,https://www.davitadeutschland.de,"DaVita Deutschland GmbH provides dialysis services and renal care solutions for patients with kidney diseases, operating dialysis centers and manufacturing related medical equipment.",Germany,Dialysis & Renal Care,,,Curated German Healthcare Database
Mindray Deutschland GmbH,https://www.mindraydeutschland.de,Mindray Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Agilent Technologies Deutschland GmbH,https://www.agilenttechnologiesdeutschland.de,Agilent Technologies Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Sysmex Deutschland GmbH,https://www.sysmexdeutschland.de,Sysmex Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Shire Deutschland GmbH,https://www.shiredeutschland.de,Shire Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Amgen Deutschland GmbH,https://www.amgendeutschland.de,Amgen Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
SEPPIC,https://www.seppic.de,SEPPIC provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Bayer AG,https://www.bayer.de,"Bayer AG is a pharmaceutical company specializing in the development, manufacturing, and distribution of prescription medications and healthcare products in Germany and internationally.","Leverkusen, Germany",Pharmaceuticals,,,Curated German Healthcare Database
PerkinElmer Deutschland GmbH,https://www.perkinelmerdeutschland.de,PerkinElmer Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Cepheid Deutschland GmbH,https://www.cepheiddeutschland.de,Cepheid Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Boehringer Ingelheim GmbH,https://www.boehringeringelheim.de,Boehringer Ingelheim GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Takeda Deutschland GmbH,https://www.takedadeutschland.de,Takeda Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Hartmann AG,https://www.hartmann.de,"Hartmann AG manufactures and distributes medical devices, surgical instruments, and healthcare products for medical professionals and healthcare institutions.","Heidenheim, Germany",Medical Devices,,,Curated German Healthcare Database
Biotest AG,https://www.biotest.de,Biotest AG is a biotechnology company focused on developing innovative therapeutic solutions through advanced biotechnology platforms and research capabilities.,"Dreieich, Germany",Biotechnology,,,Curated German Healthcare Database
3M Deutschland GmbH,https://www.3mdeutschland.de,3M Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
BioMérieux Deutschland GmbH,https://www.biomrieuxdeutschland.de,BioMérieux Deutschland GmbH is a biotechnology company focused on developing innovative therapeutic solutions through advanced biotechnology platforms and research capabilities.,Germany,Biotechnology,,,Curated German Healthcare Database
Becton Dickinson Deutschland GmbH,https://www.bectondickinsondeutschland.de,Becton Dickinson Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Fenwal Deutschland GmbH,https://www.fenwaldeutschland.de,Fenwal Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Bayer Vital GmbH,https://www.bayervital.de,"Bayer Vital GmbH is a pharmaceutical company specializing in the development, manufacturing, and distribution of prescription medications and healthcare products in Germany and internationally.","Leverkusen, Germany",Pharmaceuticals,,,Curated German Healthcare Database
Acelity Deutschland GmbH,https://www.acelitydeutschland.de,Acelity Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Sartorius AG,https://www.sartorius.de,Sartorius AG provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,"Göttingen, Germany",Healthcare Services,,,Curated German Healthcare Database
GE Healthcare Deutschland GmbH,https://www.gehealthcaredeutschland.de,GE Healthcare Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Aesculap AG,https://www.aesculap.de,"Aesculap AG manufactures and distributes medical devices, surgical instruments, and healthcare products for medical professionals and healthcare institutions.","Tuttlingen, Germany",Medical Devices,,,Curated German Healthcare Database
Octapharma Deutschland GmbH,https://www.octapharmadeutschland.de,"Octapharma Deutschland GmbH is a pharmaceutical company specializing in the development, manufacturing, and distribution of prescription medications and healthcare products in Germany and internationally.",Germany,Pharmaceuticals,,,Curated German Healthcare Database
Medline Deutschland GmbH,https://www.medlinedeutschland.de,Medline Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Novartis Deutschland GmbH,https://www.novartisdeutschland.de,"Novartis Deutschland GmbH is a pharmaceutical company specializing in the development, manufacturing, and distribution of prescription medications and healthcare products in Germany and internationally.",Germany,Pharmaceuticals,,,Curated German Healthcare Database
Evotec SE,https://www.evotec.de,Evotec SE is a biotechnology company focused on developing innovative therapeutic solutions through advanced biotechnology platforms and research capabilities.,"Hamburg, Germany",Biotechnology,,,Curated German Healthcare Database
Pfizer Deutschland GmbH,https://www.pfizerdeutschland.de,"Pfizer Deutschland GmbH is a pharmaceutical company specializing in the development, manufacturing, and distribution of prescription medications and healthcare products in Germany and internationally.",Germany,Pharmaceuticals,,,Curated German Healthcare Database
Olympus Deutschland GmbH,https://www.olympusdeutschland.de,Olympus Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Thermo Fisher Scientific Deutschland GmbH,https://www.thermofisherscientificdeutschland.de,Thermo Fisher Scientific Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Bracco Imaging Deutschland GmbH,https://www.braccoimagingdeutschland.de,Bracco Imaging Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Alexion Deutschland GmbH,https://www.alexiondeutschland.de,Alexion Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Stada Arzneimittel AG,https://www.stadaarzneimittel.de,"Stada Arzneimittel AG is a pharmaceutical company specializing in the development, manufacturing, and distribution of prescription medications and healthcare products in Germany and internationally.","Bad Vilbel, Germany",Pharmaceuticals,,,Curated German Healthcare Database
Cardinal Health Deutschland GmbH,https://www.cardinalhealthdeutschland.de,Cardinal Health Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Hologic Deutschland GmbH,https://www.hologicdeutschland.de,Hologic Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Illumina Deutschland GmbH,https://www.illuminadeutschland.de,Illumina Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Janssen Deutschland GmbH,https://www.janssendeutschland.de,Janssen Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Seca GmbH,https://www.seca.de,Seca GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Abbott Diagnostics Deutschland GmbH,https://www.abbottdiagnosticsdeutschland.de,"Abbott Diagnostics Deutschland GmbH is a medical technology company that develops and manufactures medical devices, diagnostic equipment, and healthcare solutions for hospitals and healthcare providers.",Germany,Medical Technology,,,Curated German Healthcare Database
Terumo Deutschland GmbH,https://www.terumodeutschland.de,Terumo Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
B. Braun Avitum AG,https://www.bbraunavitum.de,"B. Braun Avitum AG manufactures and distributes medical devices, surgical instruments, and healthcare products for medical professionals and healthcare institutions.","Melsungen, Germany",Medical Devices,,,Curated German Healthcare Database
AMAG,https://www.amag.de,AMAG provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Medtronic Deutschland GmbH,https://www.medtronicdeutschland.de,Medtronic Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Mölnlycke Health Care GmbH,https://www.mlnlyckehealthcare.de,Mölnlycke Health Care GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Bellco Deutschland GmbH,https://www.bellcodeutschland.de,Bellco Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Fresenius SE & Co. KGaA,https://www.fresenius.de,"Fresenius SE & Co. KGaA provides dialysis services and renal care solutions for patients with kidney diseases, operating dialysis centers and manufacturing related medical equipment.","Bad Homburg, Germany",Dialysis & Renal Care,,,Curated German Healthcare Database
Regeneron Deutschland GmbH,https://www.regenerondeutschland.de,Regeneron Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Immucor Deutschland GmbH,https://www.immucordeutschland.de,Immucor Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Nipro Deutschland GmbH,https://www.niprodeutschland.de,Nipro Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Paul Hartmann AG,https://www.paulhartmann.de,"Paul Hartmann AG manufactures and distributes medical devices, surgical instruments, and healthcare products for medical professionals and healthcare institutions.","Heidenheim, Germany",Medical Devices,,,Curated German Healthcare Database
Stryker Deutschland GmbH,https://www.strykerdeutschland.de,Stryker Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Haemonetics Deutschland GmbH,https://www.haemoneticsdeutschland.de,Haemonetics Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Siemens Healthineers AG,https://www.siemenshealthineers.de,"Siemens Healthineers AG is a medical technology company that develops and manufactures medical devices, diagnostic equipment, and healthcare solutions for hospitals and healthcare providers.","Munich, Germany",Medical Technology,,,Curated German Healthcare Database
Radiometer Deutschland GmbH,https://www.radiometerdeutschland.de,Radiometer Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
Smith & Nephew Deutschland GmbH,https://www.smith.de,Smith & Nephew Deutschland GmbH provides comprehensive healthcare services and solutions to support the German healthcare system and improve patient outcomes.,Germany,Healthcare Services,,,Curated German Healthcare Database
