name,website,description,location,category,subcategory,founded_year,employees,funding_amount,funding_stage,revenue,ceo,email,phone,linkedin,twitter,products,technology_stack,certifications,partnerships,awards,press_mentions,data_quality_score,last_updated,source,validation_status
Teladoc Health Canada,https://www.teladochealth.ca,committed to supporting Canadian hospitals and health systems through our innovative virtual care platform and devices. Get started (opens a new window) Our team from across Canada is proudly serving over 9 million Canadians from coast to coast to coast.,Europe,Digital Health,Telemedicine,,,,Seed,,,hhsengage@teladochealth.com,18688404314,https://www.linkedin.com/company/teladoc-health-canada,,"our services before\""],\""validationRules\"":[{\""type\"":\""required\"",\""message\"":\""Please specify how you heard about us\""}],\""conditionalFieldVisibility\"":\""$undefined\""},{\""id\"":\""howCanWeHelp\"",\""typ","aws, ai, ml",,"us LinkedIn, Indigenous individuals, us",,Featured in media coverage,88.0,2025-07-13 08:51:20,https://www.teladochealth.ca,validated
Data4Life – Digital solutions for a healthier world,https://www.data4life.care/,Our projects Our solutions Submenu D4L Collect Sensor Data Collection Platform D2E Integrate Health Data Management Solution D2E Analyze Health Data Analytics Studio D4L FAIR Health Research Metadata Catalog Knowledge We make data ready for research to build a healthier world. Nonprofit. Digital.,Berlin from,Digital Health,Wearables,,,,IPO,,,sesaram-copy@3x.png,1670318521,https://www.linkedin.com/company/data4life,https://twitter.com/Data4Life_D4L,Our solutions Submenu D4L Collect Sensor Data Collection Platform D2E Integrate Health Data Management Solution D2E Analyze Health Data Analytics Studio D4L FAIR Health Research Metadata Catalog Knowl,"ai, ml",,"us Our digital solutions at, Together with our, We work with renowned",,Featured in media coverage,88.0,2025-07-13 08:51:27,https://www.data4life.care/,validated
Data4Life – Digital solutions for a healthier world,https://www.data4life.care,Our projects Our solutions Submenu D4L Collect Sensor Data Collection Platform D2E Integrate Health Data Management Solution D2E Analyze Health Data Analytics Studio D4L FAIR Health Research Metadata Catalog Knowledge We make data ready for research to build a healthier world. Nonprofit. Digital.,Berlin from,Digital Health,Wearables,,,,IPO,,,sesaram-copy@3x.png,1670318521,https://www.linkedin.com/company/data4life,https://twitter.com/Data4Life_D4L,Our solutions Submenu D4L Collect Sensor Data Collection Platform D2E Integrate Health Data Management Solution D2E Analyze Health Data Analytics Studio D4L FAIR Health Research Metadata Catalog Knowl,"ai, ml",,"us Our digital solutions at, Together with our, We work with renowned",,Featured in media coverage,88.0,2025-07-13 08:51:40,https://www.data4life.care,validated
medisana - Your health in good hands,https://www.medisana.com/,"constantly producing new health products for the different areas of health control, which are equipped with a simple operation and convince with proper results. However, our focus is not only on medical devices, products for your own well-being are also part of our portfolio.",Germany Netherlands,Pharmaceuticals,Medical Devices,1982,,,,,,medisana-favicon@3x.png,7136175759,,,our products.,"java, ai, ml","ce 1982, ce 1982",,"2024,  The Plus X Award has recognised the LM 100 as the Peris performance",Featured in media coverage,88.0,2025-07-13 08:51:48,https://www.medisana.com/,validated
medisana - Your health in good hands,https://www.medisana.com,"constantly producing new health products for the different areas of health control, which are equipped with a simple operation and convince with proper results. However, our focus is not only on medical devices, products for your own well-being are also part of our portfolio.",Germany Netherlands,Pharmaceuticals,Medical Devices,1982,,,,,,medisana-favicon@3x.png,7136175759,,,our products.,"java, ai, ml","ce 1982, ce 1982",,"2024,  The Plus X Award has recognised the LM 100 as the Peris performance",Featured in media coverage,88.0,2025-07-13 08:52:18,https://www.medisana.com,validated
In der Life Sciences Kommunikation sind wir einzigartig | BI,https://www.biocom.de,able to offer. Essential Website Cookies These cookies are strictly necessary to provide you with services available through our website and to use some of its features.,Essential Website,Biotechnology,Healthcare Technology,2024,,,IPO,,,,31536000000,https://www.linkedin.com/company/3946034/,,the services we are able to offer.,"java, ai, ml",,,,,88.0,2025-07-13 08:55:42,https://www.biocom.de,validated
Medical Fair Thailand 2025,https://www.medicalfair-thailand.com,"Medical Fair Thailand 2025 --> (function(w,d,s,l,i){w[l]=w[l]||[];w[l].","Düsseldorf, Europe",Healthcare Services,Rehabilitation,2003,,,,,,medicalfair-thailand@mda.com.sg,10008850948708,https://www.linkedin.com/company/medicalfairthailand/,,,"java, ai, ml","ce 2025, ce 2025, ce 2003","News Press Releases Industry News Media, News Press Releases Industry News Media, dynamic environment for",,Featured in media coverage,88.0,2025-07-13 08:55:45,https://www.medicalfair-thailand.com,validated
Auta Health,https://www.auta.health/,"G-K5K30JJ0GY', 'auto'); ga('send', 'pageview'); Belegungsmanagement Warum Auta Health Über Uns Kontakt 🎆 Auta Health wünscht einen guten Start in das Jahr 2024!",Europe,Digital Health,Healthcare Technology,2024,,,,,,AutaHealthDemo@medigital.io,65807915544,https://www.linkedin.com/company/medigitalcompany/?viewAsMember=true,,,ai,,Netzwerk und,,,84.0,2025-07-13 08:47:36,https://www.auta.health/,validated
Aurora Nutrio - Deine All-in-One Tracking-Lösung,https://shop.getnutrio.com/,using a spacing inspired from frameworks like Tailwind CSS. * --------------------------------------------------------------------- */ --spacing-0-5: 0.,Essenzielle Cookies,Digital Health,Healthcare Technology,,,,,,,contact@aurora-nutrio.com,1619772414,,,"the productId matches ""9689652756748"" const matchingItem = loopProps.","java, ai, ml",,"gemeinsam mit unserem, gemeinsam mit unserem",,Featured in media coverage,84.0,2025-07-13 08:47:57,https://shop.getnutrio.com/,validated
Improve AI model performance with life sciences data network,https://www.apheris.com,State-of-the-art AI models will be trained and evaluated on unique data from multiple biopharma companies without exposing proprietary information.,Europe,Pharmaceuticals,Drug Discovery,,,,,,,,1752322529994,https://linkedin.com/company/apheris,,"our product Trusted by our customers and partners What our customers and partners say about us “ Through the AISB Network we can collaborate on data with other pharma partners, exploring the hypothesi","react, ai, ml",,"an unprecedented, Learn more about our product Trusted by our customers and partners What our customers and, Through the AISB Network we can collaborate on data with other pharma",,,84.0,2025-07-13 08:48:14,https://www.apheris.com,validated
IBM Products,https://www.ibm.com/watson/health/,"The place to shop for software, hardware and services from IBM and our providers. Browse by technologies, business needs and services.",Europe,Digital Health,AI/ML Healthcare,,,,Series A,,,,1735844232109,"https://www.linkedin.com/company/ibm&#34;},{&#34;title&#34;:&#34;X&#34;,&#34;url&#34;:&#34;https://www.twitter.com/ibm&#34;},{&#34;title&#34;:&#34;Instagram&#34;,&#34;url&#34;:&#34;https://www.instagram.com/ibm&#34;},{&#34;title&#34;:&#34;YouTube&#34;,&#34;url&#34;:&#34;https://www.youtube.com/@IBM&#34;},{&#34;title&#34;:&#34;Podcasts&#34;,&#34;url&#34;:&#34;https://www.ibm.com/think/podcasts&#34;}]},{&#34;title&#34;:&#34;Connect&#34;,&#34;links&#34;:[{&#34;title&#34;:&#34;Business","https://www.twitter.com/ibm&#34;},{&#34;title&#34;:&#34;Instagram&#34;,&#34;url&#34;:&#34;https://www.instagram.com/ibm&#34;},{&#34;title&#34;:&#34;YouTube&#34;,&#34;url&#34;:&#34;https://www.youtube.com/@IBM&#34;},{&#34;title&#34;:&#34;Podcasts&#34;,&#34;url&#34;:&#34;https://www.ibm.com/think/podcasts&#34;}]},{&#34;title&#34;:&#34;Connect&#34;,&#34;links&#34;:[{&#34;title&#34;:&#34;Business","our applications, data and events\x22},\x22groups\x22:[{\x22heading\x22:{\x22title\x22:\x22\x22,\x22description\x22:\x22\x22},\x22links\x22:[{\x22title\x22:\x22API Connect\x22,\x22url\x22:\x22https:\/","kubernetes, ai, ml",,,"lnk=flatitem\x22,\x22description\x22:\x22API for real\u002Dtime speech",,84.0,2025-07-13 08:48:47,https://www.ibm.com/watson/health/,validated
"Providing simpler, smarter, more personal healthcare for all",https://www.medbelle.com/,"We deliver seamless care through a unique combination of personal support and advanced technology. Our Patient Care Advisers guide patients through every step, while our digital platform improves efficiency and transparency.",the UK,Digital Health,Practice Management,,,,,,,care@medbelle.com,020-34119171,,https://twitter.com/Medbelle,our platform ensures efficiency and transparency.,"java, aws, ai, ml",,"Aberdeen Orthopaedics is an excellent example of this and has already helped almost, Physio First to change the way patients use healthcare and create, Aberdeen Orthopaedics is an excellent example of this and has already helped almost",,Featured in media coverage,84.0,2025-07-13 08:49:46,https://www.medbelle.com/,validated
Preventicus GmbH - Preventicus Heartbeats - Herzrhythmusstör,https://www.preventicus.com/,"FürAnwender FürÄrzte Für Kranken-versicherungen Messen Sie Ihren Herzrhythmus in EKG-vergleichbarer Qualität. Regelmäßig. Die häufigste Herzrhythmusstörung ist das Vorhofflimmern. Jeder Vierte wird es im Laufe seines Lebens bekommen, die Wahrscheinlichkeit steigt besonders ab einem Lebensalter von 65 Jahren, sowie bereits ab 55 Jahren bei Vorliegen weiterer Risikofaktoren (z.B. Bluthochdruck, Diabetes, frühere Herz-Kreislauf-Ereignisse).* Herzrhythmusstörungen sind nicht immer [&hellip;]",Datenschutzeinstellungen Essenziell,Digital Health,Healthcare Technology,,,,,,,info@preventicus.com,1750664688,https://www.linkedin.com/company/preventicus/,https://twitter.com/_preventicus,,"ai, ml",ISO 13485,"STARKE ALLIANZEN Erfolg mit, llung unseres Versorgungsauftrages gepaart mit schnellem Wachstum geht nur mit guten",,Featured in media coverage,84.0,2025-07-13 08:49:55,https://www.preventicus.com/,validated
Aesthetic Clinic Software | Medical Record system | Clinicmi,https://www.clinicminds.com/,truly amazed at how quick you always respond to all our questions. Your service is what every company should strive towards…and you can quote me on that!,"London, UK",Digital Health,Healthcare Technology,,,,,,Barbara Rossi,,24956593556596,,,our productivity.,"aws, ai, ml",,clinic manager and business,,,84.0,2025-07-13 08:51:29,https://www.clinicminds.com/,validated
Buy your needs for the fair | COMPAMED 2025,https://www.oos.compamed.de,Inform yourself about the Buy your needs for the fair on the COMPAMED 2025 for exhibitors.,"Düsseldorf, Europe",Digital Health,Healthcare Technology,,,,,,,onlinesupport@messe-duesseldorf.de,1752396829,,,our products to feature.,"java, ai, ml",,"Service, Service, Your order stock is grouped by service",,,84.0,2025-07-13 08:53:50,https://www.oos.compamed.de,validated
Buy your needs for the fair | REHACARE 2025,https://www.oos.rehacare.com,Inform yourself about the Buy your needs for the fair on the REHACARE 2025 for exhibitors.,"Düsseldorf, Europe",Digital Health,Healthcare Technology,,,,,,,onlinesupport@messe-duesseldorf.de,1752396939,,,our products to feature.,"java, ai, ml",,"Service, Service, Your order stock is grouped by service",,,84.0,2025-07-13 08:55:40,https://www.oos.rehacare.com,validated
Buy your needs for the fair | REHACARE 2025,https://www.oos.rehacare.de,Inform yourself about the Buy your needs for the fair on the REHACARE 2025 for exhibitors.,"Düsseldorf, Europe",Digital Health,Healthcare Technology,,,,,,,onlinesupport@messe-duesseldorf.de,1752396977,,,our products to feature.,"java, ai, ml",,"Service, Service, Your order stock is grouped by service",,,84.0,2025-07-13 08:56:18,https://www.oos.rehacare.de,validated
Top-Jobs Pflege &amp; Medizin Plattform | MEDWING,https://www.medwing.com/,"OfBeds\"":\""Betten\"",\""numberOfPatients\"":\""Patienten\"",\""jobDescription\"":\""Jobbeschreibung\"",\""locationModalTitle\"":\""Standort\"",\""benefits\"":\""Einrichtungsvorteile\"",\""apply\"":\""Schnellbewerbung\"",\""getDirectionButton\"":\""Anfahrt\"",\""addressPlaceholder\"":\""Adresse, z.",Hamburg Berlin,Wellness,Fitness,2024,,,Seed,,,,1622-8633435,https://www.linkedin.com/company/medwing/,,,"java, ai, ml",,"wir sind Dein, ber eine unserer, wir sind Dein",,,80.0,2025-07-13 08:47:52,https://www.medwing.com/,validated
ottonova - Die Versicherung fürs mobile Zeitalter. | ottonov,https://www.ottonova.de/,"Offer"",""itemOffered"":{""@type"":""Service"",""name"":""Expat First Class"",""description"":""German Health Insurance.",Versicherung Deutschlands,Digital Health,Healthcare Technology,,,,,,,support@ottonova.de,17647058824,https://www.linkedin.com/company/ottonova-ag,,,"ai, ml",,"Erfahre jetzt mehr Digitaler Arztbesuch Videosprechstunde mit unserem, ber ottonova Erfahrungen Nachhaltigkeit Jobs Presse, ber ottonova Erfahrungen Nachhaltigkeit Jobs Presse",,Featured in media coverage,80.0,2025-07-13 08:49:06,https://www.ottonova.de/,validated
Top-Jobs Pflege &amp; Medizin Plattform | MEDWING,https://www.medwing.com,"OfBeds\"":\""Betten\"",\""numberOfPatients\"":\""Patienten\"",\""jobDescription\"":\""Jobbeschreibung\"",\""locationModalTitle\"":\""Standort\"",\""benefits\"":\""Einrichtungsvorteile\"",\""apply\"":\""Schnellbewerbung\"",\""getDirectionButton\"":\""Anfahrt\"",\""addressPlaceholder\"":\""Adresse, z.",Hamburg Berlin,Wellness,Fitness,2024,,,Seed,,,,1622-8633435,https://www.linkedin.com/company/medwing/,,,"java, ai, ml",,"wir sind Dein, ber eine unserer, wir sind Dein",,,80.0,2025-07-13 08:49:15,https://www.medwing.com,validated
Gesundheitsplattform &amp; Vermittlung von klinischen Studie,https://www.mondosano.de/,"PostalAddress"",""streetAddress"":""Hans-Henny-Jahnn-Weg 53"",""addressLocality"":""Hamburg"",""postalCode"":""22085"",""addressCountry"":""Deutschland""}},{""@type"":[""CommunityHealth"",""Organization""],""@id"":""https://www.",Datenschutzeinstellungen Essenziell,Digital Health,Healthcare Technology,,,,IPO,,,info@mondosano.de,0800 5890208,https://www.linkedin.com/company/mondosano',,,"ai, ml",,Krankenkassen und weiteren medizinischen,,Featured in media coverage,80.0,2025-07-13 08:50:25,https://www.mondosano.de/,validated
MEDIAN Group - Höchste Behandlungsqualität und moderne Verso,https://www.median-group.com,Spanien path {fill: #DBBF00;} Unsere Standorte Land Land auswählen MEDIAN Deutschland Priory Vereinigtes Königreich Hestia Health Spanien MEDIAN Group 410 Einrichtungen 3 Länder MEDIAN Deutschland 122 Einrichtungen ~18.,in Deutschland,Healthcare Services,Rehabilitation,,,,IPO,,Noelle Group,info@median-group.com,6666666667,,,,"java, ai, ml",,,,Featured in media coverage,80.0,2025-07-13 08:51:03,https://www.median-group.com,validated
medbo - Medizinische Einrichtungen des Bezirks Oberpfalz,https://www.medbo.de,Medizinische und pflegerische Versorgung in den Fachbereichen Neurologie sowie Psychiatrie &amp; Psychotherapie für die Menschen allen Alters in der Oberpfalz.,Poliklinik UKR,Healthcare Services,Rehabilitation,,,,,,,georg.hoegerl@medbo.de,1731675196,https://www.linkedin.com/company/bezirksklinikum-regensburg-medbo-gmbh-,,,"java, ai, ml",,,,Featured in media coverage,80.0,2025-07-13 08:51:34,https://www.medbo.de,validated
Home Health &amp; Wellness Devices - Medisana,https://www.medisana.com.my,"Home Health &amp; Wellness Devices - Medisana {""@context"":""https://schema.",Vietnam Germany,Wellness,Healthcare Technology,,,,,,,ben.lau@featured.com.hk,1732548086349,https://www.linkedin.com/company/medisana-far-east-limited/,,,"ai, ml",,," Quality Care for Every Individual, Every Family Care That Connects: For You And Your Family Quality Care For Every Individual, Every Family Featured Products Trusted Health &amp; Wellness Devices for Your Home Health Control Therapy &amp; Healthy Home Wellness Sports Personal Care What's New [data-etheme_slide_template_id='7723']{background-repeat:no-repeat;background-position:center center;background-size:cover;display: flex;align-items: center;justify-content: center }[data-etheme_slide_template_id='7723'] > [data-elementor-id]{flex: 1; }[data-etheme_slide_template_id='7723']{background-repeat:no-repeat;background-position:center center;background-size:cover;display: flex;align-items: center;justify-content: center }[data-etheme_slide_template_id='7723'] > [data-elementor-id]{flex: 1; }[data-etheme_slide_template_id='7723']{background-repeat:no-repeat;background-position:center center;background-size:cover;display: flex;align-items: center;justify-content: center }[data-etheme_slide_template_id='7723'] > [data-elementor-id]{flex: 1; }[data-etheme_slide_template_id='7723']{background-repeat:no-repeat;background-position:center center;background-size:cover;display: flex;align-items: center;justify-content: center }[data-etheme_slide_template_id='7723'] > [data-elementor-id]{flex: 1; }[data-etheme_slide_template_id='7723']{background-repeat:no-repeat;background-position:center center;background-size:cover;display: flex;align-items: center;justify-content: center }[data-etheme_slide_template_id='7723'] > [data-elementor-id]{flex: 1; } medisana Honored with Plus X Award 2024 for Highest Customer Satisfaction Learn More > medisana Honored with Plus X Award 2024 for Highest Customer Satisfaction Learn More > medisana Honored with Plus X Award 2024 for Highest Customer Satisfaction Learn More > medisana Honored with Plus X Award 2024 for Highest Customer Satisfaction Learn More > medisana Honored with Plus X Award 2024 for Highest Customer Satisfaction Learn More > medisana Celebrates 7th Achievement at German Brand Award 2024 Learn More > medisana Honored with Plus X, inOut"",""pE"":""n"",""x"":[""inherit"",""inherit"",""inherit"",""inherit"",""inherit""],""y"":[""inherit"",""inherit"",""inherit"",""inherit"",""inherit""],""o"":0,""xRe"":0,""yRe"":0,""off"":1}]}}},""p"":{""t"":[0,0,0,0,0],""b"":[0,0,0,0,0],""l"":[0,0,0,0,0],""r"":[0,0,0,0,0]},""m"":{""t"":[0,0,0,0,0],""b"":[0,0,0,0,0],""l"":[0,0,0,0,0],""r"":[0,0,0,0,0]},""lh"":[""#a"",25,25,25,""13""],""spike"":{""use"":true,""l"":""none"",""r"":""none"",""lw"":""0%"",""rw"":""0%""},""type"":""container"",""content"":{""text"":""""},""toggle"":{""text"":""""}},""3"":{""fluid"":{""tx"":true,""tr"":true,""sp"":true},""id"":3,""alias"":""Content"",""content"":{""text"":""medisana Celebrates 7th Achievement at German Brand",Featured in media coverage,80.0,2025-07-13 08:53:02,https://www.medisana.com.my,validated
